created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Sep 25 09:55:00 +0000 2023;1706245910211223851;"@tanyarlfes Dengan tiktokshop dilarang apa bikin pedagang toko balik rame lagi? Gimana dengan shopee live, tokopedia play, lazlive?? Gak bakal langsung wuzz toko rame kan? wkwkw aneh";0;1;0;0;in;1273623104548245506;1706240725816689111;ankbaruu;https://twitter.com/ankbaruu/status/1706245910211223851
Mon Sep 25 09:53:49 +0000 2023;1706245614521266396;"@tanyarlfes Harusnya tuh yg dilarang jualan di tiktokshop yg artis"/seleb tuh, trus kasi edukasi ke penjual offline buat jualin produknya juga di tiktokshop jgn cuma di pasar/ruko soalnya jaman skrg banyak manusia mager maunya buka hp klik klik pesanan udah didepan rumah😭";0;1;1;13;in;1341752641706049537;1706240725816689111;azuraziutzi;https://twitter.com/azuraziutzi/status/1706245614521266396
Mon Sep 25 09:47:06 +0000 2023;1706243921758798066;"@tanyarlfes padahal lebih bangaj gratis ingkir di tiktokshop -_- lebih memudahkan pembeli malah dilarang";0;0;0;0;in;1153981180103933957;1706240725816689111;burburayamm;https://twitter.com/burburayamm/status/1706243921758798066
Thu Sep 21 01:07:09 +0000 2023;1704663522213499020;"@urphoenixia @txtdarionlshop Masalahnya tuh di algoritma tiktokshop hey! Mau jungkir balikpun kalo algoritma nya di set buat akun2 tertentu ya yang seller2 biasa pada mati. Coba research soal project S nya tiktok, di US udah dilarang pasti ada alasannya dong.";0;0;0;0;in;910069182909186049;1704522289415626869;havimon;https://twitter.com/havimon/status/1704663522213499020
Wed Sep 20 13:39:52 +0000 2023;1704490563293094104;"Mau tiktokshop dilarang, w ttep blanja di toko ijo dan oren (prnsip)";0;0;0;0;in;122327253;1704490563293094104;diownri;https://twitter.com/diownri/status/1704490563293094104
Sat Sep 16 10:00:01 +0000 2023;1702985682145222793;"Apakah tepat kalau TikTok Shop dilarang? Share pendapat kalian di kolom komentar ya!  #tiktok #tiktokshop #mendag #zulkiflihasan #menparekraf #sandiagauno #infografis #pinterpolitik #politikindonesia #beritapolitik https://t.co/NDQgJ6dVEh";0;2;0;1;in;798770586784702464;1702985682145222793;pinterpolitik;https://twitter.com/pinterpolitik/status/1702985682145222793
Wed Sep 13 03:57:55 +0000 2023;1701807396279250995;"Kekuatan lobi pebisnis ke pemerintah Indonesia menemukan ajangnya di kasus ini.  #TiktokShop dilarang pemerintah karena berpotensi mematikan industri e-commerce tak lain adl hasil lobi intensif pemain e-commerce besar nasional yg cemas nasibnya ke depan.  Melawan #Tiktok berat. https://t.co/q83UTREGhM";0;1;0;0;in;135413212;1701807396279250995;HastoSuprayogo;https://twitter.com/HastoSuprayogo/status/1701807396279250995
Tue Sep 12 04:52:41 +0000 2023;1701458789277577534;"Pedagang jualan offline banyak yg sepi, akhirnya jualan lewat tiktokshop pada laku rame, eh amalah tiktokshop dilarang sama pemerintah. Gak habis pikir lama2 sama pemerintah di negara ini, kaya gak suka bgt gitu masyarakatnya sukses. Jan gobloke goblok tenan!";0;3;1;1;in;1176803473;1701458789277577534;jordannugraha;https://twitter.com/jordannugraha/status/1701458789277577534
Mon Sep 11 13:05:08 +0000 2023;1701220328129896877;"@pizzaldi ini tu di tiktokshop uda mulai barang dr cinanya masuk ndut. dulu shopee jg gini sampe akhirnya dilarang tu berapa kategori gaboleh dr luar negeri. inget bener dulu ad kerudung paris 1.000an dr guangzhou 😪 pedagang sini gabisa saingin";0;1;0;0;in;72354064;1701212078252728446;ditakencana;https://twitter.com/ditakencana/status/1701220328129896877
Thu Sep 07 12:57:34 +0000 2023;1699768873212588464;"Tiktokshop bakal dilarang: $BUKA $BELI $GOTO girang? https://t.co/rIQLyXUZyj";0;1;0;0;tl;1637433701247377410;1699768873212588464;Mikirduitcom;https://twitter.com/Mikirduitcom/status/1699768873212588464
Thu Feb 09 04:22:25 +0000 2023;1623537781397164035;"dilarang membuka shopee dan tiktokshop ❌❌❌";0;0;0;0;in;1013326675226968064;1623532420657209346;kafikafikafi;https://twitter.com/kafikafikafi/status/1623537781397164035
